,ID,Plant Name,Name,volume,mean,median,setupMin,setupMax,syrup_components
0,200251,Karlsruhe,330MLALCNN1X24 Coke USC,251001.99899999998,380.0,480.0,30.0,480.0,3.0
1,200373,Karlsruhe,330MLALCNN10X48 Coke,36356.001000000004,351.42857142857144,480.0,30.0,480.0,3.0
2,201551,Karlsruhe,330MLALCNN10X1 Coke,1855168.0,380.0,480.0,30.0,480.0,3.0
3,202598,Karlsruhe,500MLALCNN1X24 Mnstr Ener- KO EXPO,1535973.0,213.33333333333334,180.0,60.0,480.0,13.0
4,202615,Karlsruhe,500MLALCNN12X1 Mnstr Ener- KO EXPO,564638.9990000002,213.33333333333334,180.0,60.0,480.0,13.0
5,202619,Karlsruhe,500MLALCNN1X24 MNSTR ENG ZERO ULTRA EXPO,516060.99799999996,291.6666666666667,180.0,60.0,480.0,12.0
6,202624,Karlsruhe,500MLALCNN12X1 MNSTR ASALT-KO EXPO,518577.9990000001,221.66666666666666,180.0,120.0,480.0,12.0
7,202625,Karlsruhe,500MLALCNN12X1 MNSTR ENER ABSTLY ZE EXPO,573812.0,215.0,180.0,60.0,480.0,14.0
8,202626,Karlsruhe,500MLALCNN12X1 MNSTR ENG DUB BAL BL EXPO,432007.001,241.66666666666666,180.0,120.0,480.0,16.0
9,202646,Karlsruhe,500MLALCNN12X1 MNSTR ENG ZERO ULTRA EXPO,610385.0,216.66666666666666,180.0,60.0,480.0,12.0
10,202663,Karlsruhe,500MLALCNN12X1 MNSTR ENG THE DOC-KO EXPO,638770.998,238.33333333333334,180.0,60.0,480.0,11.0
11,202765,Karlsruhe,500MLALCNN12X1 MNSTR ENG ULTRA CITR EXPO,78579.00100000002,220.0,180.0,120.0,480.0,13.0
12,202949,Karlsruhe,500MLALCNN12X1 MNSTR ENG ULTRA VIOL EXPO,166486.0,220.0,180.0,120.0,480.0,14.0
13,202957,Karlsruhe,500MLALCNN12X1 MNSTR ENGPIPELINE PN EXPO,677047.0009999998,240.0,180.0,120.0,480.0,12.0
14,203029,Karlsruhe,500MLALCNN12X1 MNSTR ENRGY JC MNG L EXPO,1181727.0010000002,238.28571428571428,180.0,60.0,480.0,12.0
15,203064,Karlsruhe,330MLALCNN1X24 Fanta Exotic,1391980.0010000002,385.0,480.0,60.0,480.0,5.0
16,203150,Karlsruhe,330MLALCNN1X24 FANTA MNG DRGNFRT,301053.001,385.0,480.0,60.0,480.0,5.0
17,203171,Karlsruhe,568MLALCNN12X1 Mnstr Ener- KO EXPO,981984.25,218.33333333333334,180.0,120.0,480.0,13.0
18,203214,Karlsruhe,568MLALCNN12X1 MNSTR ENG ZERO ULTRA EXPO,283344.0,221.66666666666666,180.0,120.0,480.0,12.0
19,203225,Karlsruhe,568MLALCNN12X1 MNSTR ENRGY JC MNG L EXPO,41689.0,236.66666666666666,180.0,120.0,480.0,12.0
20,203234,Karlsruhe,330MLALCNN1X24 Fanta Lmn,180253.0,235.0,180.0,60.0,480.0,4.0
21,203235,Karlsruhe,330MLALCNN1X24 Fanta Exotic Frt Pnch,304913.0,235.0,180.0,60.0,480.0,3.0
22,203242,Karlsruhe,330MLALCNN1X24 Fanta Kw Strby,100298.0,235.0,180.0,60.0,480.0,4.0
23,203275,Karlsruhe,500MLALCNN12X1 MNSTR ULTRA PRDISE-K EXPO,449423.0,221.66666666666666,180.0,120.0,480.0,13.0
24,203276,Karlsruhe,500MLALCNN12X1 MONSTER ENRGY PCFCPN EXPO,489918.99900000007,241.66666666666666,180.0,180.0,480.0,12.0
25,203277,Karlsruhe,500MLALCNN12X1 Mnstr Ener- KO EXPO,47752.0,215.0,180.0,60.0,480.0,13.0
26,203279,Karlsruhe,500MLALCNN12X1 MNSTR ENG ZERO ULTRA EXPO,48860.99900000001,216.66666666666666,180.0,60.0,480.0,12.0
27,203283,Karlsruhe,500MLALCNN12X1 MNSTR ENRGY JC MNG L EXPO,15278.0,233.33333333333334,180.0,60.0,480.0,12.0
28,203285,Karlsruhe,500MLALCNN12X1 MNSTR ENG THE DOC-KO EXPO,14078.0,238.33333333333334,180.0,60.0,480.0,11.0
29,203346,Karlsruhe,330MLALCNN1X24 FANTALMNELDRFLWR,99732.00100000002,416.6666666666667,480.0,180.0,480.0,5.0
30,203347,Karlsruhe,330MLALCNN10X1 Coke EXPO,106944.0,398.3333333333333,480.0,60.0,480.0,3.0
31,203378,Karlsruhe,500MLALCNN10X1 MONSTER ENRGY PCFCPN EXPO,156487.0,233.33333333333334,180.0,60.0,480.0,12.0
32,203379,Karlsruhe,500MLALCNN10X1 MONSTER ENRGY PCFCPN EXPO,239705.0,213.33333333333334,180.0,60.0,480.0,13.0
33,203396,Karlsruhe,500MLALCNN12X1 MNSTRENRGYULTRFSTA-K EXPO,306298.999,233.33333333333334,180.0,180.0,480.0,16.0
34,203413,Karlsruhe,500MLALCNN12X1 MNSTRJCDMNRCH-KO EXPO,300063.0,233.33333333333334,180.0,180.0,480.0,10.0
35,203482,Karlsruhe,330MLALCNN1X24 Fanta Kw Strby,80464.0,416.6666666666667,480.0,180.0,480.0,4.0
