"Setup Grp. From","Plant","Plant Name","Setup Grp. To","Duration","SKU_from","SKU_to","volume_SKU_to","volume_SKU_from","weighted_mean","weighted_dev","Syrup #Components","SetupMin","SetupMax"
"200001","0346","Bad Neuenahr-Ahrweiler","200002",90,"200MLGLBTR1X24 Coke","330MLGLBTR1X24 Coke",734436.998,459526.002,16.4118191754389,13.5558498261826,3,90,300
"200001","0346","Bad Neuenahr-Ahrweiler","200125",300,"200MLGLBTR1X24 Coke","250MLGLBTR1X24 Apollinaris Selection-KO",240480,459526.002,16.4118191754389,13.5558498261826,3,90,300
"200001","0346","Bad Neuenahr-Ahrweiler","200113",150,"200MLGLBTR1X24 Coke","330MLGLBTR1X24 FANTA ORG",267207.998,459526.002,16.4118191754389,13.5558498261826,3,90,300
"200001","0346","Bad Neuenahr-Ahrweiler","200215",300,"200MLGLBTR1X24 Coke","500MLGLBTR1X20 Apollinaris Selection-KO",39592,459526.002,16.4118191754389,13.5558498261826,3,90,300
"200001","0346","Bad Neuenahr-Ahrweiler","200001",0,"200MLGLBTR1X24 Coke","200MLGLBTR1X24 Coke",459526.002,459526.002,16.4118191754389,13.5558498261826,3,90,300
"200001","0346","Bad Neuenahr-Ahrweiler","200051",150,"200MLGLBTR1X24 Coke","330MLGLBTR1X24 Coke lt",149959,459526.002,16.4118191754389,13.5558498261826,3,90,300
"200001","0346","Bad Neuenahr-Ahrweiler","200013",150,"200MLGLBTR1X24 Coke","330MLGLBTR1X24 Sprite",130148.999,459526.002,16.4118191754389,13.5558498261826,3,90,300
"200002","0346","Bad Neuenahr-Ahrweiler","200215",300,"330MLGLBTR1X24 Coke","500MLGLBTR1X20 Apollinaris Selection-KO",39592,734436.998,12.8942276810183,11.8502756136259,3,90,300
"200002","0346","Bad Neuenahr-Ahrweiler","200001",90,"330MLGLBTR1X24 Coke","200MLGLBTR1X24 Coke",459526.002,734436.998,12.8942276810183,11.8502756136259,3,90,300
"200002","0346","Bad Neuenahr-Ahrweiler","200002",0,"330MLGLBTR1X24 Coke","330MLGLBTR1X24 Coke",734436.998,734436.998,12.8942276810183,11.8502756136259,3,90,300
"200002","0346","Bad Neuenahr-Ahrweiler","200113",90,"330MLGLBTR1X24 Coke","330MLGLBTR1X24 FANTA ORG",267207.998,734436.998,12.8942276810183,11.8502756136259,3,90,300
"200002","0346","Bad Neuenahr-Ahrweiler","200051",90,"330MLGLBTR1X24 Coke","330MLGLBTR1X24 Coke lt",149959,734436.998,12.8942276810183,11.8502756136259,3,90,300
"200002","0346","Bad Neuenahr-Ahrweiler","200125",300,"330MLGLBTR1X24 Coke","250MLGLBTR1X24 Apollinaris Selection-KO",240480,734436.998,12.8942276810183,11.8502756136259,3,90,300
"200002","0346","Bad Neuenahr-Ahrweiler","200013",150,"330MLGLBTR1X24 Coke","330MLGLBTR1X24 Sprite",130148.999,734436.998,12.8942276810183,11.8502756136259,3,90,300
"200007","0281","Köln","200026",30,"18LSSTKR1X1 Coke POM","9LSSTKR1X1 Mezzo Speciality Mix POM",1031,3598,6.99015554242961,7.48137514064627,3,15,30
"200007","0281","Köln","201032",180,"18LSSTKR1X1 Coke POM","9LSSTKR1X1 Lift Apl POM",2928,3598,6.99015554242961,7.48137514064627,3,15,30
"200007","0281","Köln","200061",30,"18LSSTKR1X1 Coke POM","9LSSTKR1X1 Coke lt POM",1283,3598,6.99015554242961,7.48137514064627,3,15,30
"200007","0281","Köln","200010",180,"18LSSTKR1X1 Coke POM","18LSSTKR1X1 Kinley Club Soda POM",1968,3598,6.99015554242961,7.48137514064627,3,15,30
"200007","0281","Köln","200019",30,"18LSSTKR1X1 Coke POM","9LSSTKR1X1 Sprite POM",3791,3598,6.99015554242961,7.48137514064627,3,15,30
"200007","0281","Köln","201054",180,"18LSSTKR1X1 Coke POM","9LSSTKR1X1 MM ORG 30 (NEC) POM",2589,3598,6.99015554242961,7.48137514064627,3,15,30
"200007","0281","Köln","200027",30,"18LSSTKR1X1 Coke POM","9LSSTKR1X1 Coke Zero POM",1037,3598,6.99015554242961,7.48137514064627,3,15,30
"200007","0281","Köln","202992",30,"18LSSTKR1X1 Coke POM","9LSSTKR1X1 FANTA SPLSH ORG POM",3227,3598,6.99015554242961,7.48137514064627,3,15,30
"200007","0281","Köln","200007",0,"18LSSTKR1X1 Coke POM","18LSSTKR1X1 Coke POM",3598,3598,6.99015554242961,7.48137514064627,3,15,30
"200007","0281","Köln","201055",180,"18LSSTKR1X1 Coke POM","9LSSTKR1X1 MM Apl Jc 100 POM",1899,3598,6.99015554242961,7.48137514064627,3,15,30
"200007","0281","Köln","200008",15,"18LSSTKR1X1 Coke POM","9LSSTKR1X1 Coke POM",1442,3598,6.99015554242961,7.48137514064627,3,15,30
"200007","0281","Köln","201056",180,"18LSSTKR1X1 Coke POM","9LSSTKR1X1 MM Frt Pnch (Nec) POM",602,3598,6.99015554242961,7.48137514064627,3,15,30
"200008","0281","Köln","200007",15,"9LSSTKR1X1 Coke POM","18LSSTKR1X1 Coke POM",3598,1442,7.09627879503839,7.39491862628467,3,15,30
